duracion,sesgo,curtosis,complejidad,cruce,entropia,media,desviacion,clase
0.35483871,0.903225806,0.806451613,0.193548387,0.35483871,0.935483871,0.064516129,0.096774194,on
0.967741935,0.709677419,0.64516129,0.35483871,0.967741935,0.741935484,0.548387097,0.903225806,off
0.096774194,0.064516129,0.096774194,0.419354839,0.096774194,1,0.838709677,0.032258065,on
0.838709677,0.516129032,0.838709677,0.64516129,0.838709677,0.838709677,0.129032258,0.258064516,off
0.64516129,0.806451613,0.774193548,0.903225806,0.64516129,0.096774194,0.935483871,0.677419355,on
0.193548387,0.741935484,0.741935484,1,0.193548387,0.161290323,0.290322581,0.870967742,off
0.451612903,0.612903226,0.548387097,0.806451613,0.451612903,0.483870968,1,0.935483871,on
0.967741935,1,1,0.096774194,0.967741935,0.35483871,0.258064516,0.548387097,off
0.032258065,0.483870968,0.290322581,0.612903226,0.032258065,0.677419355,0.193548387,0.709677419,on
0.129032258,0.419354839,0.225806452,0.483870968,0.129032258,0.419354839,0.483870968,0.774193548,off
0.741935484,0.838709677,0.677419355,0.161290323,0.741935484,0.774193548,0.741935484,0.290322581,on
0.129032258,0.677419355,0.419354839,0.064516129,0.129032258,0.580645161,0.612903226,0.516129032,off
0.064516129,0.322580645,0.161290323,0.709677419,0.064516129,0.193548387,0.161290323,0.741935484,on
0.580645161,0.35483871,0.709677419,0.677419355,0.580645161,0.258064516,0.322580645,0.580645161,off
0.709677419,0.774193548,0.612903226,0.838709677,0.709677419,0.129032258,0.419354839,0.806451613,on
0.548387097,0.387096774,0.483870968,0.774193548,0.548387097,0.032258065,0.096774194,0.967741935,off
0.903225806,0.096774194,0.258064516,0.967741935,0.903225806,0.290322581,0.967741935,0.419354839,on
0.290322581,0.967741935,0.967741935,0.451612903,0.290322581,0.64516129,0.806451613,0.451612903,off
0.516129032,0.129032258,0.032258065,0.387096774,0.516129032,0.548387097,0.903225806,0.193548387,on
0.806451613,0.451612903,0.451612903,0.129032258,0.806451613,0.516129032,0.35483871,0.129032258,off
0.64516129,0.548387097,0.580645161,0.516129032,0.64516129,0.387096774,0.516129032,0.838709677,on
0.967741935,0.580645161,0.870967742,0.870967742,0.967741935,0.451612903,0.677419355,0.612903226,off
0.35483871,0.193548387,0.35483871,0.322580645,0.35483871,0.870967742,0.64516129,0.35483871,on
0.35483871,0.870967742,0.903225806,0.580645161,0.35483871,0.322580645,0.387096774,0.64516129,off
0.258064516,0.258064516,0.129032258,0.741935484,0.258064516,0.967741935,0.225806452,0.225806452,on
0.451612903,0.64516129,0.516129032,0.225806452,0.451612903,0.903225806,0.032258065,0.161290323,off
0.35483871,0.161290323,0.193548387,0.290322581,0.35483871,0.225806452,0.451612903,0.322580645,on
0.774193548,0.290322581,0.322580645,0.548387097,0.774193548,0.806451613,0.580645161,0.064516129,off
0.64516129,0.225806452,0.387096774,0.258064516,0.64516129,0.709677419,0.709677419,0.483870968,on
0.193548387,0.935483871,0.935483871,0.032258065,0.193548387,0.612903226,0.774193548,0.387096774,off
0.838709677,0.032258065,0.064516129,0.935483871,0.838709677,0.064516129,0.870967742,1,on
